sentence,topic_predicted,label
Universal world policies can infringe on rights.,states' rights,support
Universal world policies can infringe on rights.,world policies,against
Making destruction of cultural property a crime against humanity would ensure it is protected.,making it a crime against humanity,support
Making destruction of cultural property a crime against humanity would ensure it is protected.,making this a crime,against
"In order to provide care for employees, they must disclose their criminal history.",mandatory disclosure of criminal history to,support
"In order to provide care for employees, they must disclose their criminal history.",mandatory background checks for all employees,against
Forced Education Achieves Little,abolishing forced education,support
Forced Education Achieves Little,forced education,against
Boycotting Euro 2012 will highlight Ukraine?? backsliding on human rights,human rights abuses by the Ukrainian,support
Boycotting Euro 2012 will highlight Ukraine?? backsliding on human rights,people boycotting the Euro 2012,against
"There is an alternative in tribunals, which would respect the rights on detainees",using tribunals to decide,support
"There is an alternative in tribunals, which would respect the rights on detainees",binding tribunals that would,against
A Representative democracy can better accommodate a larger population,increasing the population,support
A Representative democracy can better accommodate a larger population,a meritocracy,against
Israeli military operations breaks the peace in the region. ,peace,support
Israeli military operations breaks the peace in the region. ,peace,against
It causes division within society,abolishing it,support
It causes division within society,gay marriage,against
Collective Bargaining is Needed to Voice Opinion,collective bargaining,support
Collective Bargaining is Needed to Voice Opinion,collective bargaining,against
The investment of time and money in developing new products is incentivised by intellectual property rights.,Patents and Copyrights,support
The investment of time and money in developing new products is incentivised by intellectual property rights.,free competition,against
Violent video games lead to inappropriate social interactions.,banning violent video games,support
Violent video games lead to inappropriate social interactions.,violent video games,against
Piracy is unlikely to be stopped without cutting off internet access.,a censorship regime,support
Piracy is unlikely to be stopped without cutting off internet access.,closing down the internet,against
tuition fees are helpful,tuition fees,support
tuition fees are helpful,free tuition,against
Democratization  gives people more freedom than having to be limited to a company.,democratization,support
Democratization  gives people more freedom than having to be limited to a company.,corporate ownership,against
This maintains relevance even now.,the article remaining,support
This maintains relevance even now.,AP,against
The human body has changed over time to be able to handle a largely vegetarian diet,vegetarianism,support
The human body has changed over time to be able to handle a largely vegetarian diet,a vegetarian diet,against
Democratising manufacturing gives people more freedom,a trade union,support
Democratising manufacturing gives people more freedom,automation sweeping across the manufacturing industry,against
The violent music encourages disrespect toward women,removing violent music from the air,support
The violent music encourages disrespect toward women,violence in music,against
A ban is necessary for progress in the status of women.,a ban on abortion,support
A ban is necessary for progress in the status of women.,a ban on abortion,against
Intercept evidence deals particularly well with cases of conspiracy and criminal gangs which have a widespread network.,intercept evidence in criminal cases,support
Intercept evidence deals particularly well with cases of conspiracy and criminal gangs which have a widespread network.,a 'rogue officer',against
It makes foreigners want to hide and avoid authority.,the state controlling where foreigners can,support
It makes foreigners want to hide and avoid authority.,foreigners living in the UK,against
Everyone is not equally equipped to make good decisions.,specialization,support
Everyone is not equally equipped to make good decisions.,democracy,against
Turkey would be an unstable Muslim state in a traditionally Christian union,the breakup of the union,support
Turkey would be an unstable Muslim state in a traditionally Christian union,an EU membership for Turkey,against
it is unncessary to creat a UN standing army,having a UN peacekeeping force,support
it is unncessary to creat a UN standing army,UN peacekeeping,against
Suicide undermines the sanctity of the human body,suicide prevention,support
Suicide undermines the sanctity of the human body,assisted suicide,against
This House Believes That the U.S. Should Ban The Use of Cluster Bombs,a ban on cluster bombs,support
This House Believes That the U.S. Should Ban The Use of Cluster Bombs,using cluster bombs,against
The best way to end racial discrimination in univesity admissions is to stop using racial discrimination to create (fake) diversity.,racial quotas,support
The best way to end racial discrimination in univesity admissions is to stop using racial discrimination to create (fake) diversity.,affirmative action,against
Human rights demand that we are free to express our religion.,freedom of religion,support
Human rights demand that we are free to express our religion.,prohibiting the wearing of religious symbols,against
Violent Video Games Cause Social Interaction Problems,a government regulating the-,support
Violent Video Games Cause Social Interaction Problems,video games as a form of,against
Wiretapping can actually threaten the success of intelligence services in preventing crime and helping to prove criminals guilty.,wiretapping,support
Wiretapping can actually threaten the success of intelligence services in preventing crime and helping to prove criminals guilty.,wiretapping as a means of,against
"The threat of investigation could deter future war crimes, including the use of chemical weapons",investigations into alleged chemical weapon use,support
"The threat of investigation could deter future war crimes, including the use of chemical weapons",investigating war crimes,against
Hydroelectric dams provide cheap access to renewable energy,using hydroelectric dams to produce,support
Hydroelectric dams provide cheap access to renewable energy,renewable energy,against
Drone strikes target individuals who may not be terrorists or enemy combatants. ,using drones to kill people who,support
Drone strikes target individuals who may not be terrorists or enemy combatants. ,targeted killings,against
Scientology has a reputation for targetting skeptics.,suppressing critical thinking,support
Scientology has a reputation for targetting skeptics.,Scientologists targeting skeptics,against
"On Somalia, terrorism is everywhere but we need to crack down on terrorist leaders: big potbellied men who do 'not' want to die ,who train/indocrinate impressionable minds the world over",targeted killings,support
"On Somalia, terrorism is everywhere but we need to crack down on terrorist leaders: big potbellied men who do 'not' want to die ,who train/indocrinate impressionable minds the world over",any international action in Somalia to,against
The ICC fills the gap when courts fail.,the ICC,support
The ICC fills the gap when courts fail.,the ICC,against
The EU should be more active in combating the abuse of human rights.,the EU taking a more active,support
The EU should be more active in combating the abuse of human rights.,the European Union having a human,against
Scarce public resources.,more public resources for the arts,support
Scarce public resources.,making more public resources available,against
There is nothing illegal about drone strikes under US law.,drone strikes,support
There is nothing illegal about drone strikes under US law.,Drone Strikes,against
Marriage represents a legal bond which protects both parties in a relationship,marriage as a form of protection,support
Marriage represents a legal bond which protects both parties in a relationship,same-sex marriage,against
PR increases political engagement which benefits society.,PR,support
PR increases political engagement which benefits society.,paid political ads,against
The Responsibility of Those in the Medical Profession,medical professionals being held accountable for,support
The Responsibility of Those in the Medical Profession,assisted suicide,against
Wind energy isn't reliable and is inconsistent.,fossil fuels,support
Wind energy isn't reliable and is inconsistent.,wind power,against
Lowering the age of consent will open the door to more criminal problems,keeping the age of consent at,support
Lowering the age of consent will open the door to more criminal problems,changing the age of consent,against
We have lost sight of what we are observing. ,a change in perspective,support
We have lost sight of what we are observing. ,observing reality,against
Playoffs Lead To More Exposure,playoffs,support
Playoffs Lead To More Exposure,playoffs,against
One language would be best to help understand EU jargon.,a single European language,support
One language would be best to help understand EU jargon.,multiple languages being used to understand,against
The highest burden for protecting athletes lies with the IAAF and the Athletics commission. ,compulsory blood testing for all athletes,support
The highest burden for protecting athletes lies with the IAAF and the Athletics commission. ,professionalisation,against
When people use social media they tend to reduce their personal face-to-face  time with others.,using social media in moderation because,support
When people use social media they tend to reduce their personal face-to-face  time with others.,social media,against
Replacing textbooks with tablets can lead to dangerous consequences for human and environmental health.,replacing textbooks with tablets,support
Replacing textbooks with tablets can lead to dangerous consequences for human and environmental health.,replacing textbooks with tablets,against
There is no time left to have a second direct vote. ,a referendum,support
There is no time left to have a second direct vote. ,a second direct vote,against
The result of a handgun ban is lower crime and fewer deaths.,a handgun ban,support
The result of a handgun ban is lower crime and fewer deaths.,a handgun ban,against
Many of the American adults are in favour of carrying concealed handguns,guns in public places,support
Many of the American adults are in favour of carrying concealed handguns,a nationwide ban on handguns,against
DNA testing companies are unreliable.,'genetic testing',support
DNA testing companies are unreliable.,DNA testing,against
The actual personas of celebrities could be misleading.,creating fictional characters to represent celebrities,support
The actual personas of celebrities could be misleading.,using celebrity personas when designing,against
Ending the use of bottled water would save local water supplies.,tap water being universally available,support
Ending the use of bottled water would save local water supplies.,recycling water,against
Consistent and reliable wind energy isn't an option in all countries.,wind energy being unreliable,support
Consistent and reliable wind energy isn't an option in all countries.,consistent and reliable wind energy,against
"If you can die for your country, you should be trusted to drink. ",drinking alcohol while serving in the,support
"If you can die for your country, you should be trusted to drink. ",a public health campaign against alcohol,against
Shakespeare isn't the best poet ever,a 'best poet',support
Shakespeare isn't the best poet ever,literary merit,against
"If every child had a mobile phone, they would be able to learn faster and better.",giving children mobile phones,support
"If every child had a mobile phone, they would be able to learn faster and better.",introducing mobile phones into schools,against
Free trade is good for development and growth. ,free trade,support
Free trade is good for development and growth. ,protectionism (the policy of,against
More evidence in courts of law would help to fight terrorism and organized crime,more evidence being presented in court,support
More evidence in courts of law would help to fight terrorism and organized crime,more evidence being allowed in court,against
Hydorelectric dams have benefits for flood control and for irrigation.,using hydropower to generate,support
Hydorelectric dams have benefits for flood control and for irrigation.,Hydroelectric dams,against
People need identity cards for their own safety.,identity cards,support
People need identity cards for their own safety.,giving everyone a universal identity card,against
"School uniforms keep students focused on their education, not their clothes.",mandatory school uniforms,support
"School uniforms keep students focused on their education, not their clothes.",school uniforms,against
"NATO expansion was, and is, necessary for international stability",NATO enlargement,support
"NATO expansion was, and is, necessary for international stability",withdrawing from the organisation,against
Attempting to ban it would only cause further problems,legalization,support
Attempting to ban it would only cause further problems,banning the game,against
The information age demands a right to broadband access,the government providing free broadband to,support
The information age demands a right to broadband access,net neutrality,against
dropping the debts may encourage borrowers to take advantage,increasing the size of the loan,support
dropping the debts may encourage borrowers to take advantage,debt relief,against
UK will renew its self-reliance in security.,the UK maintaining its own security,support
UK will renew its self-reliance in security.,increasing defence spending,against
Plan promotes abuse by bad governments,a dictatorship,support
Plan promotes abuse by bad governments,a plan,against
Forced evictions will create cities without slums in the long-run. ,forced evictions,support
Forced evictions will create cities without slums in the long-run. ,forced evictions,against
Zero tolerance policing is enormously expensive,community policing,support
Zero tolerance policing is enormously expensive,police officers being held criminally liable,against
Sometimes it is more important to keep their sources rather than risk losing them at trial,whistleblower protection laws,support
Sometimes it is more important to keep their sources rather than risk losing them at trial,releasing grand jury transcripts,against
Women have developed a platform for economic development.,women having a voice in the,support
Women have developed a platform for economic development.,women having a platform,against
Reproductive choice protects women from financial disadvantage. ,women being able to choose whether,support
Reproductive choice protects women from financial disadvantage. ,compulsory sterilisation for women who,against
"No, because the resolution states the action as ""in response"" rather than ""in defense"". ",the resolution,support
"No, because the resolution states the action as ""in response"" rather than ""in defense"". ",using defensive action in response to,against
"Tablets can hold hundreds of textbooks on one device, plus homework, quizzes, and other files, eliminating the need for physical storage of books and classroom materials.",having textbooks on a tablet,support
"Tablets can hold hundreds of textbooks on one device, plus homework, quizzes, and other files, eliminating the need for physical storage of books and classroom materials.",e-readers because they,against
Eating meat increases the risk of getting type 2 diabetes. ,a vegetarian diet,support
Eating meat increases the risk of getting type 2 diabetes. ,eating meat,against
"Tactical nuclear warheads are more serviceable for use in intimidation and retaliation toward enemies, as they are considerably less catastrophically destructive than those of current nuclear arsenals.",using tactical nukes in a,support
"Tactical nuclear warheads are more serviceable for use in intimidation and retaliation toward enemies, as they are considerably less catastrophically destructive than those of current nuclear arsenals.",eliminating nuclear weapons,against
Religious Doctrine Preaches Altruism,religious doctrine being preached as altru,support
Religious Doctrine Preaches Altruism,selfless action,against
The resale of grey goods lowers the prices to the consumer.,grey goods being cheap,support
The resale of grey goods lowers the prices to the consumer.,grey goods,against
International Terrorist Networks can be destroyed by having Drone Strikes in the United States. ,Drone Strikes,support
International Terrorist Networks can be destroyed by having Drone Strikes in the United States. ,using drones to kill terrorist suspects,against
Internet anonymity increases cyberbullying and trolling,internet censorship,support
Internet anonymity increases cyberbullying and trolling,online anonymity,against
A dictatorship breeds order and it's a needed step for both development and liberal democracy,a dictatorship,support
A dictatorship breeds order and it's a needed step for both development and liberal democracy,free and open societies,against
Identity cards confer advantages on their users,identity cards,support
Identity cards confer advantages on their users,identity cards,against
access to contraception in need of the hour.,women having control over their reproductive,support
access to contraception in need of the hour.,contraception,against
"All countries have a right to defend themselves with nuclear weapons, even when they lack the capacity in conventional weapons",a nuclear arms race,support
"All countries have a right to defend themselves with nuclear weapons, even when they lack the capacity in conventional weapons",nuclear disarmament,against
The economy of the United States was stronger under the gold standard.,a gold standard,support
The economy of the United States was stronger under the gold standard.,a fiat currency,against
Electing a mayor will help return to democratic  ideals.,electing a mayor,support
Electing a mayor will help return to democratic  ideals.,a monarchy,against
Prostitution has benefits.,legal prostitution,support
Prostitution has benefits.,criminalizing prostitution,against
Size zero models should be banned.,sizeism,support
Size zero models should be banned.,size zero models,against
"Bus driver's salary, and crowded transport. ",public transport,support
"Bus driver's salary, and crowded transport. ",bus drivers making a decent wage,against
Anti-bribery laws lead to increased inequalities and new loopholes (response).,loopholes,support
Anti-bribery laws lead to increased inequalities and new loopholes (response).,anti-bribery laws,against
Re-engagement will do more harm than good.,disengagement,support
Re-engagement will do more harm than good.,re-engagement with Russia,against
There are other means by which to protect the rights of terrorists without needing to apply the Geneva Conventions.,using torture,support
There are other means by which to protect the rights of terrorists without needing to apply the Geneva Conventions.,using the Geneva Conventions to,against
Trade may not help those most in need.,free trade,support
Trade may not help those most in need.,trade,against
A UN standing army would not be cost-effective.,"a smaller, more efficient military",support
A UN standing army would not be cost-effective.,a UN standing army,against
Science teachers should be sympathetic to each individual student,'individualized instruction',support
Science teachers should be sympathetic to each individual student,teaching scientific theories,against
PMCs that are native to an area may have detailed knowledge of the local area's geography and political state among other things.,PMCs working in a specific,support
PMCs that are native to an area may have detailed knowledge of the local area's geography and political state among other things.,PMCs being stationed in a,against
 It will facilitate world food distribution,globalisation,support
 It will facilitate world food distribution,food redistribution,against
We have the right to collective bargaining.,unions,support
We have the right to collective bargaining.,anti-union laws,against
A UN standing army is unnecessary,the UN peacekeeping force,support
A UN standing army is unnecessary,a UN peacekeeping force,against
Many reality TV shows are distasteful,a ban,support
Many reality TV shows are distasteful,reality TV,against
Allegations of misconduct has darkened the reports of success by the UN.,misconduct,support
Allegations of misconduct has darkened the reports of success by the UN.,the UN,against
Legalizing marijuana would create costs for both society and taxpayers that would offset the tax revenues that are generated.,legalizing marijuana,support
Legalizing marijuana would create costs for both society and taxpayers that would offset the tax revenues that are generated.,legalizing marijuana,against
Cuba deserves sanctions,economic sanctions against Cuba,support
Cuba deserves sanctions,sanctions,against
people in poverty usually never get out,a safety net,support
people in poverty usually never get out,alleviating poverty,against
Celebrities endorse drug abuse,celebrities endorsing drugs,support
Celebrities endorse drug abuse,celebrities endorsing drug abuse,against
"Nuclear power has many benefits, but cost is not one.",nuclear power,support
"Nuclear power has many benefits, but cost is not one.",using nuclear power,against
The UN needs a new approach with complete reform and replacement.,a new UN,support
The UN needs a new approach with complete reform and replacement.,the UN,against
Parental consent would create two 'classes??of pupil.,parental consent,support
Parental consent would create two 'classes??of pupil.,parental consent,against
The US intervention was acceptable as it was done under War Powers,using military force without congressional consent,support
The US intervention was acceptable as it was done under War Powers,Congressional oversight,against
You can find harmful ingredients in vaccines.,not vaccinating children,support
You can find harmful ingredients in vaccines.,vaccination,against
Intervention would affect the existing peace deal. ,intervention,support
Intervention would affect the existing peace deal. ,intervention,against
Newspapers have a reputation to uphold.,newspapers being a good source of,support
Newspapers have a reputation to uphold.,newspapers being bought and closed down,against
One cheap form of renewable energy is hydroelectric dams,dam construction,support
One cheap form of renewable energy is hydroelectric dams,renewable energy,against
What are the negative effects of police body cameras.,police body cameras,support
What are the negative effects of police body cameras.,police body cameras,against
More vetoes mean less action,more vetoes,support
More vetoes mean less action,vetoes,against
"Wearing uniforms enhances school pride, unity, and community spirit.",school uniforms,support
"Wearing uniforms enhances school pride, unity, and community spirit.",students wearing expressive clothing in school,against
Social stability through the use of dictatorships.,dictatorships,support
Social stability through the use of dictatorships.,democracy,against
Religion does not promote violence.,separating church and state,support
Religion does not promote violence.,religion as a cause of violence,against
Important public programs can be funded with the incremental taxes collected from legal marijuana sales.,legalizing marijuana,support
Important public programs can be funded with the incremental taxes collected from legal marijuana sales.,legalizing marijuana,against
We shall move at once.,moving immediately,support
We shall move at once.,waiting,against
The EU should press for full equality regardless of sexuality.,same-sex marriage being recognised,support
The EU should press for full equality regardless of sexuality.,different rights for homosexuals,against
It is not acceptable that the goverment favorites and prioritizes an age group.,social justice,support
It is not acceptable that the goverment favorites and prioritizes an age group.,government-provided healthcare,against
Scotland will be unable to survive economically without England,an English Union,support
Scotland will be unable to survive economically without England,independence,against
Markets in sexual services can serve legitimate needs,sexual services being provided by legal,support
Markets in sexual services can serve legitimate needs,prohibition,against
Creative commons is not a good option for many government works,a government monopoly on intellectual property,support
Creative commons is not a good option for many government works,using Creative commons for government works,against
Marriage is not something we should encourage or support.,getting married for non-relations,support
Marriage is not something we should encourage or support.,marriage,against
Public health would be improved because everyone would have access to health care whenever they need it.,universal health care,support
Public health would be improved because everyone would have access to health care whenever they need it.,a single-payer healthcare system,against
There is no one healthy diet,a balanced diet,support
There is no one healthy diet,a specific diet,against
New prisons will harm nearby communities.,closed prisons,support
New prisons will harm nearby communities.,new prisons,against
Russian and US strategic interests conflict,a US-Russian arms control,support
Russian and US strategic interests conflict,cooperation between the two countries,against
"Science lessons tend to deal with fact, as opposed to opinion as in a religious education lesson",religious education being taught in science,support
"Science lessons tend to deal with fact, as opposed to opinion as in a religious education lesson",teaching science from a religious perspective,against
Not standing for the anthem doesn't do anything to actually protest injustice.,peaceful protesting,support
Not standing for the anthem doesn't do anything to actually protest injustice.,protesting injustice by not standing for,against
Gay marriage would improve all marriages.,gay marriage,support
Gay marriage would improve all marriages.,same-sex marriage,against
Net neutrality hampers usage of the internet,net neutrality,support
Net neutrality hampers usage of the internet,net neutrality,against
Intervention might destabilize the peace deal in the South,leaving it to the people to,support
Intervention might destabilize the peace deal in the South,intervention,against
It would be too inconvenient to make payments to housewives,a state-run scheme which,support
It would be too inconvenient to make payments to housewives,compulsory payments,against
3D printers owned by individuals can be used to create illegal products.,3D printers being illegal,support
3D printers owned by individuals can be used to create illegal products.,3D printing being used for,against
Wind Farms Help Reduce Carbon Emissions,wind farms,support
Wind Farms Help Reduce Carbon Emissions,wind turbines,against
The 2016 vote in Britain should be upheld. ,the UK leaving the EU,support
The 2016 vote in Britain should be upheld. ,a Brexit,against
Teachers need to admit they are wrong,'self-improvement',support
Teachers need to admit they are wrong,teacher unions,against
Resource abundance has led to poor governance,socialism,support
Resource abundance has led to poor governance,resource abundance,against
ban music that glorifies crime because of the influence it has on children,censorship,support
ban music that glorifies crime because of the influence it has on children,making music that is considered ',against
Reparations would be a step towards closing colonial scars.,reparations,support
Reparations would be a step towards closing colonial scars.,reparations,against
Leaving the EU means leaving the instability that was there,Brexit,support
Leaving the EU means leaving the instability that was there,Brexit,against
Terror cannot be fought because it is a strategy.,it being used as a tool,support
Terror cannot be fought because it is a strategy.,fighting terror,against
A child performer's formal education is limited by their work.,child performers having a limited formal,support
A child performer's formal education is limited by their work.,a compulsory education for child performers,against
Thousands of jobs are generated through the sale of legalized marijuana. ,legalizing marijuana,support
Thousands of jobs are generated through the sale of legalized marijuana. ,legalization,against
Tablets in K-12 schools have higher costs than textbooks and therefore increases the digital divide.,using textbooks instead of tablets in,support
Tablets in K-12 schools have higher costs than textbooks and therefore increases the digital divide.,tablets in K-12 schools,against
Privatizing Social Security will not solve its problems.,Social Security privatization,support
Privatizing Social Security will not solve its problems.,privatization,against
 Internet access is a necessary part of the right to freedom of information and expression.,Net neutrality,support
 Internet access is a necessary part of the right to freedom of information and expression.,blocking the internet,against
Neo-functionalism  explains the cause of integration,integration,support
Neo-functionalism  explains the cause of integration,functionalism,against
There's nothing wrong with the health insurance mandate according to the constitution.,the mandate,support
There's nothing wrong with the health insurance mandate according to the constitution.,the mandate,against
morsi was a threat to true democracy,a military coup,support
morsi was a threat to true democracy,Morsi being democratically elected,against
Intercept evidence is simply not reliable enough to be effective evidence in court.,innocent until proven guilty,support
Intercept evidence is simply not reliable enough to be effective evidence in court.,using Intercept evidence in court,against
Social media can help alleviate the shunning of the socially marginalized.,social media being used to help,support
Social media can help alleviate the shunning of the socially marginalized.,social media censorship,against
Social media sites' advertising practices may constitute an invasion of privacy.,a government backed regulation of social,support
Social media sites' advertising practices may constitute an invasion of privacy.,social media sites advertising,against
The renewable energy from hydroelectric dams is low cost.,using hydroelectric dams to generate,support
The renewable energy from hydroelectric dams is low cost.,renewable energy from hydroelectric dams,against
It reduces the ability of universities to be self-sufficient and to fund other less potentially profitable pursuits,charging students tuition,support
It reduces the ability of universities to be self-sufficient and to fund other less potentially profitable pursuits,tuition fees,against
It hurts children to imprison them.,abolishing imprisonment,support
It hurts children to imprison them.,imprisoning children,against
The improvement of quality of the national team is likely.,improving the quality of the national,support
The improvement of quality of the national team is likely.,a national team overhaul,against
Lowering the age of consent will increase crimes and potential victims.,having a higher age of consent,support
Lowering the age of consent will increase crimes and potential victims.,lowering the age of consent,against
"There needs to be a strong leader for Russia not just as a state, but also as a nation",Vladimir Putin,support
"There needs to be a strong leader for Russia not just as a state, but also as a nation",democracy,against
A capped working week protects the workers,a capped working week,support
A capped working week protects the workers,a working week without a cap,against
Banning partial birth abortions is accepted as a moral standard. ,abortion as a moral standard,support
Banning partial birth abortions is accepted as a moral standard. ,abortion on the basis of the,against
Marketing aimed at children should be subject to strict regulations.,a government-imposed age limit,support
Marketing aimed at children should be subject to strict regulations.,children's marketing,against
Nuclear weapons are required for deterrence ,using nuclear weapons,support
Nuclear weapons are required for deterrence ,nuclear disarmament,against
"All speech should be free, no matter the content.",freedom of speech,support
"All speech should be free, no matter the content.",censorship,against
A right to healthcare is a building block for a fair soceity.,healthcare being a right,support
A right to healthcare is a building block for a fair soceity.,privatising healthcare,against
Cutting web access is the most viable way to stop pirates ,'web filtering',support
Cutting web access is the most viable way to stop pirates ,a site blocking filter,against
Leaving will give a shock to the British economy ,leaving the EU,support
Leaving will give a shock to the British economy ,Brexit,against
Intervention would be legitimate,government intervention in the economy,support
Intervention would be legitimate,intervening in Syria,against
Neo-functionalism proposes a purpose to EU integration.,EU integration having a purpose,support
Neo-functionalism proposes a purpose to EU integration.,a purpose to EU integration,against
Banning bottled water restrict consumers ability to obtain water.,bottled water,support
Banning bottled water restrict consumers ability to obtain water.,banning bottled water,against
The supermarket could get into legal trouble.,a supermarket,support
The supermarket could get into legal trouble.,the supermarket,against
Violence existed before video games. ,video games causing violence,support
Violence existed before video games. ,video games being responsible for violence,against
Raising the minimum wage would hollow out companies through outsourcing to lower cost labor,the minimum wage,support
Raising the minimum wage would hollow out companies through outsourcing to lower cost labor,a minimum wage,against
Joining the Euro would reduce the cost of travel in Europe.,joining the Euro,support
Joining the Euro would reduce the cost of travel in Europe.,joining the Euro,against
promote sport for future female athlese,girls playing sport,support
promote sport for future female athlese,girls playing sport,against
Cuba should be subject to sanctions because it is known to have repeatedly supported acts of terrorism. ,sanctions,support
Cuba should be subject to sanctions because it is known to have repeatedly supported acts of terrorism. ,sanctions against Cuba,against
Social media is good for the economy.,using social media to promote businesses,support
Social media is good for the economy.,a 'digital divide',against
It is in the national interest for democracies to support those seeking to oust dictators,regime change,support
It is in the national interest for democracies to support those seeking to oust dictators,Bilderberg,against
Free trade should be celebrated throughout all American countries.,free trade,support
Free trade should be celebrated throughout all American countries.,trade barriers,against
unborn babies have just as much rights as anyone else,abortion,support
unborn babies have just as much rights as anyone else,abortion,against
Western donors shouldn't fund the outcome of the Palestinian elections.,the PA receiving international donor funding,support
Western donors shouldn't fund the outcome of the Palestinian elections.,Western donors funding the Palestinian elections,against
When teachers are wrong they need to let students know their mistakes.,teachers correcting their students,support
When teachers are wrong they need to let students know their mistakes.,teacher 'liability',against
It is cruel and unethical to kill animals for food when vegetarian options are available. ,vegetarianism,support
It is cruel and unethical to kill animals for food when vegetarian options are available. ,eating animals,against
The Gulf States would make a great palce for refugees to restablish themselves.,accepting refugees in the Gulf States,support
The Gulf States would make a great palce for refugees to restablish themselves.,taking in refugees from Syria,against
Fans would not benefit from playoffs.,not having playoffs,support
Fans would not benefit from playoffs.,playoffs,against
Tablets may be too difficult for less technologically savvy students,"a laptop,",support
Tablets may be too difficult for less technologically savvy students,laptops in the classroom,against
tax payers money is valuable,taxation,support
tax payers money is valuable,taxation,against
Blood sports cannot be justified by reference to their role in pest control or conservation,abolishing them,support
Blood sports cannot be justified by reference to their role in pest control or conservation,blood sports,against
Terrorists use our own media to terrify our people and create a climate of fear. ,government censorship,support
Terrorists use our own media to terrify our people and create a climate of fear. ,free speech,against
paying for their educations helps,tuition-free public colleges and,support
paying for their educations helps,free education,against
Even though hosting the olympics is very expensive it is worth the effort.,hosting the Olympics,support
Even though hosting the olympics is very expensive it is worth the effort.,not hosting the olympics,against
"Playing violent video games causes more aggression, bullying, and fighting.",banning these games,support
"Playing violent video games causes more aggression, bullying, and fighting.",video games being used for entertainment,against
Drone pilots have a lower risk for post traumatic stress disorder (PTSD) than pilots of manned aircraft and other battlefield soldiers. ,using drones for warfare,support
Drone pilots have a lower risk for post traumatic stress disorder (PTSD) than pilots of manned aircraft and other battlefield soldiers. ,providing PTSD treatment for drone pilots,against
East Germans don't necessarily believe unification to be a success no matter who they vote for.,a united Germany,support
East Germans don't necessarily believe unification to be a success no matter who they vote for.,unification,against
giving to poor prevents poverty,government-provided welfare,support
giving to poor prevents poverty,redistribution,against
AA is more harmful than good,harm reduction,support
AA is more harmful than good,AA,against
Social media posts are not able to be completely deleted and all the information that was posted can have unintended consequences.,social media censorship,support
Social media posts are not able to be completely deleted and all the information that was posted can have unintended consequences.,deleting social media posts,against
Sanctions will prevent escalation in cyber conflict,sanctions,support
Sanctions will prevent escalation in cyber conflict,sanctions,against
Even sites that appeared innocent have had a devastating effect on society.,regulating the internet,support
Even sites that appeared innocent have had a devastating effect on society.,the internet,against
"Christmas is about family and generosity, not buying things.",giving things away rather than buying,support
"Christmas is about family and generosity, not buying things.",celebrating Christmas by spending money,against
Politics should not include the head of the state as in a monarchy.,a republic,support
Politics should not include the head of the state as in a monarchy.,a monarchy,against
The current minimum wage is not high enough to allow people to afford housing.,increasing the minimum wage,support
The current minimum wage is not high enough to allow people to afford housing.,raising the minimum wage,against
free labour markets are good for migration,open borders,support
free labour markets are good for migration,a universal basic income,against
The right to freedom and expression necessarily includes the internet.,the internet being a free and,support
The right to freedom and expression necessarily includes the internet.,any censorship,against
Reparations could close colonial scars,reparations,support
Reparations could close colonial scars,reparations,against
US  and EU governments cannot and will not fund any terrorist groups.,a global anti-terrorism alliance,support
US  and EU governments cannot and will not fund any terrorist groups.,providing support to terrorist groups,against
Execution helps alleviate the overcrowding of prisons.,capital punishment,support
Execution helps alleviate the overcrowding of prisons.,executions as a form of punishment,against
There will be ?350 million more to spend a week,increasing the spending limit by ?,support
There will be ?350 million more to spend a week,further cuts,against
you can vote at 18 why cant you drink?,voting at a young age,support
you can vote at 18 why cant you drink?,extending voting rights to 18-,against
Creates a sense of equality,feminism,support
Creates a sense of equality,inequality,against
Banning smoking is not something that's necessary.,smoking in some form,support
Banning smoking is not something that's necessary.,banning smoking,against
A well-implemented progressive taxation scheme serve to promote economic growth,a progressive tax system,support
A well-implemented progressive taxation scheme serve to promote economic growth,a flat tax,against
Raising the minimum wage would increase the price of consumer goods.,the minimum wage being lowered,support
Raising the minimum wage would increase the price of consumer goods.,a minimum wage,against
Produces Employment,the bill,support
Produces Employment,a Basic Income,against
Sanctuary policies defy federal laws to which state and local governments are bound. ,sanctuary cities,support
Sanctuary policies defy federal laws to which state and local governments are bound. ,sanctuary cities,against
The goal of Damages is to create African unity. ,African Unity,support
The goal of Damages is to create African unity. ,division,against
Medical services may be delayed with a right to health care.,a right to health care,support
Medical services may be delayed with a right to health care.,a right to health care,against
There is no need to do this when the market has already limited working hours,a 48-hour week,support
There is no need to do this when the market has already limited working hours,a 48-hour workweek,against
Overcrowded prisons are creating poor environments for prisoners.,prison reform,support
Overcrowded prisons are creating poor environments for prisoners.,building more prisons,against
The UK would have a completely independent foreign policy,Brexit,support
The UK would have a completely independent foreign policy,the UK being a member of,against
"Eating meat provides healthy saturated fats, which enhance the function of the immune and nervous systems. ",eating meat,support
"Eating meat provides healthy saturated fats, which enhance the function of the immune and nervous systems. ",a vegan lifestyle,against
Drone strikes are allowed by local governments who believe it makes their countries more safe.,strikes in order to make a,support
Drone strikes are allowed by local governments who believe it makes their countries more safe.,drone strikes on the grounds that,against
People would pay but often they are given no opportunity to do so. ,a pay-to-play,support
People would pay but often they are given no opportunity to do so. ,people being able to pay to,against
